书号_x0000__x0000_,商品名称_x0000__x0000__x0000__x0000_,定价名称,总订数称_x0000__x0000_,码洋数称,出版社称_x0000__x0000_,编码社称
9787514806281,少年野外大探险--白X之谜0000000丛书1,18.00,1,18,少年儿童0探险-,75148062800018000000
9787500786351,童年全译本--语文新课标必读丛书0000丛书14个故事[美绘,12.00,1,12,中国少年0--语,75007863500012000000
9787500788140,少年特种兵--红蓝对抗202000000丛,18.00,1,18,中国少年0--红,75007881400018000002
9787500798910,全国优秀儿童文学奖作品精粹--随蒲公英一起飞的女孩故事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,16.00,1,16,中国少年0童文学,75007989100016000000
9787514803020,世界儿童文学传世经典--绿野仙踪[全译本]飞的女孩故事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000_,13.00,1,13,少年儿童0学传世,75148030200013000000
9787514802900,银牙--小狼人302900,15.00,1,15,少年儿童0狼人3,75148029000015000002
9787514800630,精灵守护者14800,20.00,1,20,少年儿童0148,75148006300020000002
9787500799610,夜色玛奇连II--毛豆邂逅银白色头发的少年飞的女孩故事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000_,8.00,1,8,中国少年连II-,75007996100008000002
9787500791010,中华人物故事全书(彩色美绘版)睿智先哲2年飞的女孩故事[美绘版]_x0000__x0000__x0000__x0000_,24.50,1,24.5,中国少年0事全书,75007910100024500002
9787500794110,大侦探小卡莱079411,30.00,1,30,中国少年0莱07,75007941100030000002
9787500797500,动物可笑堂--奇趣动物丛书0000002年飞的女,18.00,1,18,中国少年0--奇,75007975000018000002
9787500795360,我家姐姐花一朵(美绘版)--中国当代儿童文学名家丛书事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,29.80,1,29.8,中国少年0一朵(,75007953600029800002
9787514803891,白壳艇--儿童文学金牌作家书系00002文学名家丛书事[,18.00,1,18,少年儿童0儿童文,75148038900018000000
9787514801330,儿童文学十大青年金作家丛书--薛涛作品精选学名家丛书事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,20.00,1,20,少年儿童0大青年,75148013300020000000
9787500790990,中华人物故事全书[美绘版]--治国贤臣0选学名家丛书事[美绘版]_x0000__x0000_,24.50,1,24.5,中国少年0事全书,75007909900024500000
